Keyword Phrase,Search Volume,Search Volume Trend (%),Search Frequency Rank,Search Frequency Rank Trend (%),Top 3 ASINs Total Click Share,Top 3 ASINs Total Click Share Trend,Top 3 ASINs Total Conv. Share,Top 3 ASINs Total Conv. Share Trend,Top 1 ASIN,Top 1 ASIN Click Share,Top 1 ASIN Click Share Trend,Top 1 ASIN Conv. Share,Top 1 ASIN Conv. Share Trend,Top 2 ASIN,Top 2 ASIN Click Share,Top 2 ASIN Click Share Trend,Top 2 ASIN Conv. Share,Top 2 ASIN Conv. Share Trend,Top 3 ASIN,Top 3 ASIN Click Share,Top 3 ASIN Click Share Trend,Top 3 ASIN Conv. Share,Top 3 ASIN Conv. Share Trend,Competing Products,Top 3 Clicked ASINs Monthly Average Age,Top 3 ASINs Total Monthly Sales,Top 3 ASINs Total Monthly Revenue,Top 3 ASINs Total Review Count,Top 3 ASIN Total Average Rating
stanley cup,4066797,47.8,1,80,49.2,0.9,5.5,-0.9,B0CK9GTLJY,29.1,-4,2.2,-1.5,B08VPSGX5G,10.1,2.1,1.4,-0.2,B0BYWFHZCC,10,2.9,1.8,0.8,10000,23,188133,7706192.93,131662,4.6
urolithin a,4066797,190.1,6,86,57.4,-18.4,1.8,-3.2,B0DCBBF4YM,28.8,2.9,1.1,-3.4,B0D7M11KK5,14.8,-10.6,0,-0.2,B0D7MC2W3S,13.9,-10.7,0.8,0.4,112,3,268,11608.12,2345,3.1
the boys,3788384,-2.6,8,-700,40.1,-4.3,0,0,B0875THX53,15.2,-6,0,0,B08762WJZN,13.1,-1.5,0,0,B0CLWVYHZ5,11.8,3.2,0,0,90000,,,,,
twisters,2980580,669.1,9,99,93.7,13.5,0,0,B0D6XN334B,84.3,26.2,0,0,B0D6XD5WMW,7,-6.7,0,0,B00CYWURLO,2.5,-5.9,0,0,2000,,,,,
inside out 2,2980580,1911.3,46,98,86.6,52.7,30.3,18.5,B0D7GF2XG5,68.5,50.1,0,0,B0D7G8R72N,15.5,5.4,0,0,B0DCK89635,2.6,-2.8,30.3,18.5,3000,,1202,37105.09,13,0.6
toilet paper,2888874,1.4,2,71,32.5,1.7,26,1.6,B07BGLT25K,12.9,1.1,11.5,3.9,B0CGWF2BRF,12.8,2.1,8.7,-0.8,B09NW81TH8,6.7,-1.6,5.8,-1.5,3000,41,383087,3132099.3,261144,4.5
paper towels,2408724,15.3,3,67,34.4,3.8,30.7,4.7,B0CKK43XXS,15.3,1.4,14,2.5,B09BWFX1L6,12.4,1.7,10.1,1.2,B07MHJFRBJ,6.8,0.7,6.5,1,2000,41,371066,6858401.15,333299,4.5
ipad,2117274,21.8,7,13,52.7,14,41.1,19.8,B09G9FPHY6,22.4,3.1,29.9,17.9,B0BJLT98Q7,20.2,8.8,6.9,0.1,B0BJLXMVMV,10.1,2.1,4.3,1.8,1000,28,56022,15492627.28,101243,4.8
pencil pouch,2083668,158.8,10,89,15.5,0.3,4.8,0.3,B09QM2DRBV,7.4,-1.1,1.7,-0.6,B0BFM67M4D,4.7,1,1,-0.1,B091KM2JDH,3.4,0.3,2,0.9,9000,,77139,912272.73,16560,4.7
airpods,1915721,-32.7,4,-100,69.5,-0.3,73.6,1.5,B07PXGQC1Q,39.5,8.7,51.3,15.7,B0D1XD1ZV3,18.6,-2.5,14.9,-6.2,B0D1WXVQTN,11.3,-6.5,7.5,-7.9,1000,26,76685,10677567.3,633329,4.6
owala,1885314,69.1,5,64,57.9,12.6,6,2.4,B0BZYC7N7X,39.7,14.3,3,1.3,B0BZYCJK89,12.1,-1.7,2.9,1.6,B0CRCJY6YH,6.1,0,0.1,-0.5,1000,16,134387,4185101.67,161499,4.7
twister,1821409,-20.6,11,69,91.6,4.3,0,0,B0D6XN334B,58.8,-1.4,0,0,B00CYWURLO,30.1,6.4,0,0,B0D6XD5WMW,2.8,-0.7,0,0,2000,,,,,
deadpool,1696715,101.3,41,78,60.2,-3.4,0,0,B01BHCFZ54,38.5,2.9,0,0,B0CVV6V53M,11.8,-3.9,0,0,B07D5MV6VP,9.9,-2.4,0,0,4000,,,,,
inside out,1647492,121.4,65,72,90.2,8.8,0,0,B0D7GF2XG5,72.8,11.5,0,0,B015D4H1C2,14.7,1,0,0,B00ZZMHJR0,2.7,-3.7,0,0,9000,,,,,
